Institution Name ,Cert ,FIN ,Location ,Effective Date ,Ins. Fund ,Transaction Type ,Charter Class ,Failure / Assistance ,Total Deposits ,Total Assets ,Estimated Loss 12/31/2016
THE FARMERS AND MERCHANTS STATE BANK OF ARGONIA,17719,10529,"ARGONIA, KS",10/13/2017,DIF,PA ,NM ,FAILURE,"27,466","33,012",N/A
FAYETTE COUNTY BANK,1802,10528,"SAINT ELMO, IL",5/26/2017,DIF,PA ,SM ,FAILURE,"33,972","34,370",N/A
GUARANTY BANK,30003,10527,"MILWAUKEE, WI",5/5/2017,DIF,PA ,SA ,FAILURE,"1,002,026","1,031,900",N/A
FIRST NBC BANK,58302,10526,"NEW ORLEANS, LA",4/28/2017,DIF,PA ,NM ,FAILURE,"3,032,208","3,325,870",N/A
PROFICIO BANK,35495,10525,"COTTONWOOD HEIGHTS, UT",3/3/2017,DIF,PA ,NM ,FAILURE,"65,042","68,208",N/A
SEAWAY BANK AND TRUST COMPANY,19328,10524,"CHICAGO, IL",1/27/2017,DIF,PA ,NM ,FAILURE,"256,505","297,809",N/A
HARVEST COMMUNITY BANK,34951,10523,"PENNSVILLE, NJ",1/13/2017,DIF,PA ,NM ,FAILURE,"122,177","124,223",N/A
ALLIED BANK,91,10522,"MULBERRY, AR",9/23/2016,DIF,PA ,SM ,FAILURE,"64,713","66,336","6,880"
THE WOODBURY BANKING COMPANY,11297,10521,"WOODBURY, GA",8/19/2016,DIF,PA ,NM ,FAILURE,"21,122","21,426","5,225"
FIRST CORNERSTONE BANK,35312,10520,"KING OF PRUSSIA, PA",5/6/2016,DIF,PA ,NM ,FAILURE,"101,040","103,307","12,482"
TRUST COMPANY BANK,9956,10519,"MEMPHIS, TN",4/29/2016,DIF,PA ,NM ,FAILURE,"20,148","18,998","10,931"
NORTH MILWAUKEE STATE BANK,20364,10518,"MILWAUKEE, WI",3/11/2016,DIF,PA ,NM ,FAILURE,"61,493","67,115","11,846"
HOMETOWN NATIONAL BANK,35156,10517,"LONGVIEW, WA",10/2/2015,DIF,PA ,N ,FAILURE,"3,705","3,785","1,615"
THE BANK OF GEORGIA,35259,10516,"PEACHTREE CITY, GA",10/2/2015,DIF,PA ,NM ,FAILURE,"264,234","286,102","28,610"
PREMIER BANK,34112,10515,"DENVER, CO",7/10/2015,DIF,PA ,SM ,FAILURE,"25,480","26,760","4,262"
EDGEBROOK BANK,57772,10514,"CHICAGO, IL",5/8/2015,DIF,PA ,NM ,FAILURE,"90,007","90,034","22,216"
DORAL BANK,32102,10513,"SAN JUAN, PR",2/27/2015,DIF,PA ,NM ,FAILURE,"4,097,734","5,898,515","738,253"
CAPITOL CITY BANK & TRUST COMPANY,33938,10512,"ATLANTA, GA",2/13/2015,DIF,PA ,NM ,FAILURE,"262,652","272,311","99,487"
HIGHLAND COMMUNITY BANK,20290,10511,"CHICAGO, IL",1/23/2015,DIF,PA ,NM ,FAILURE,"53,453","54,727","5,571"
FIRST NATIONAL BANK OF CRESTVIEW,17557,10510,"CRESTVIEW, FL",1/16/2015,DIF,PA ,N ,FAILURE,"73,199","73,804","6,891"
NORTHERN STAR BANK,34983,10509,"MANKATO, MN",12/19/2014,DIF,PA ,NM ,FAILURE,"18,221","18,794","6,005"
"FRONTIER BANK, FSB",34738,10508,"PALM DESERT, CA",11/7/2014,DIF,PA ,SA ,FAILURE,"76,344","80,736","2,905"
THE NATIONAL REPUBLIC BANK OF CHICAGO,916,10507,"CHICAGO, IL",10/24/2014,DIF,PA ,N ,FAILURE,"809,638","843,118","56,947"
NBRS FINANCIAL BANK,4862,10506,"RISING SUN, MD",10/17/2014,DIF,PA ,SM ,FAILURE,"151,559","155,353","20,027"
"GREENCHOICE BANK, FSB",28462,10505,"CHICAGO, IL",7/25/2014,DIF,PA ,SA ,FAILURE,"68,722","70,286","18,412"
EASTSIDE COMMERCIAL BANK,58125,10504,"CONYERS, GA",7/18/2014,DIF,PA ,NM ,FAILURE,"166,875","173,946","38,334"
THE FREEDOM STATE BANK,12483,10503,"FREEDOM, OK",6/27/2014,DIF,PA ,NM ,FAILURE,"20,855","22,816","4,663"
VALLEY BANK,10450,10502,"MOLINE, IL",6/20/2014,DIF,PA ,NM ,FAILURE,"359,953","456,442","52,893"
VALLEY BANK,21793,10501,"FORT LANDERDALE, FL",6/20/2014,DIF,PA ,NM ,FAILURE,"66,541","81,843","5,605"
SLAVIE FEDERAL SAVINGS BANK,32368,10500,"BEL AIR, MD",5/30/2014,DIF,PA ,SA ,FAILURE,"111,142","140,063","10,954"
COLUMBIA SAVINGS BANK,32284,10499,"CINCINNATI, OH",5/23/2014,DIF,PA ,SB ,FAILURE,"29,538","36,484","7,224"
